1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,E
1,C:maj,F
1,C:maj,G
2,F:maj,A
2,F:maj,G
2,F:maj,F
3,C:maj,E
4,C:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,A
4,C:maj,B
5,F:maj,C
5,F:maj,B
5,F:maj,A
6,C:maj,G
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,F
7,C:maj,G
8,F:maj,A
8,F:maj,G
8,F:maj,F
9,C:maj,E
10,D:min,A
10,D:min,C
11,G:maj,B
11,G:maj,D
12,C:maj,C
12,C:maj,C
12,C:maj,C
13,A:min,A
13,A:min,C
13,A:min,C
13,A:min,C
14,F:maj,A
14,F:maj,C
14,F:maj,C
14,F:maj,C
15,D:maj,A
15,D:maj,C
15,D:maj,C
15,D:maj,C
15,D:maj,C
16,C:maj,C
17,G:maj,B
17,G:maj,A
17,G:maj,G
17,G:maj,F
18,C:maj,E
18,C:maj,E
18,C:maj,E
18,C:maj,E
18,C:maj,F
18,C:maj,G
19,F:maj,A
19,F:maj,G
19,F:maj,F
20,C:maj,E
21,D:min,A
21,D:min,C
22,G:maj,B
22,G:maj,D
23,C:maj,C
23,C:maj,C
23,C:maj,C
