1,C:maj,E
1,C:maj,G
1,C:maj,G
1,C:maj,G
1,C:maj,E
2,G:maj,D
2,G:maj,D
2,G:maj,E
2,G:maj,D
2,G:maj,C
3,A:min,C
4,C:maj,E
4,C:maj,G
5,F:maj,A
5,F:maj,C
5,F:maj,C
5,F:maj,C
5,F:maj,A
6,C:maj,G
6,C:maj,G
6,C:maj,E
6,C:maj,D
6,C:maj,C
7,D:maj,D
7,D:maj,D
8,G:maj,D
8,G:maj,D
9,C:maj,E
9,C:maj,G
10,F:maj,A
10,F:maj,A
10,F:maj,A
10,F:maj,A
10,F:maj,C
11,D:min,C
11,D:min,C
11,D:min,A
11,D:min,G
11,D:min,G
11,D:min,F
12,C:maj,G
12,C:maj,E
12,C:maj,G
13,G:maj,G
13,G:maj,A
14,A:min,E
14,A:min,E
15,F:min,C
15,F:min,D
16,C:maj,E
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,E
16,C:maj,D
17,G:maj,D
17,G:maj,E
17,G:maj,D
17,G:maj,C
18,C:maj,C
19,F:maj,C
20,G:maj,E
20,G:maj,G
21,C:maj,G
21,C:maj,E
22,G:maj,G
22,G:maj,E
22,G:maj,G
23,A:min,A
23,A:min,A
23,A:min,A
23,A:min,G
24,C:maj,E
24,C:maj,E
24,C:maj,G
25,F:maj,A
25,F:maj,A
25,F:maj,A
25,F:maj,G
26,C:maj,E
26,C:maj,E
26,C:maj,G
27,D:min,G
28,G:maj,E
28,G:maj,G
29,C:maj,G
29,C:maj,E
30,G:maj,G
30,G:maj,E
30,G:maj,G
31,A:min,A
31,A:min,A
31,A:min,A
31,A:min,G
32,C:maj,E
32,C:maj,E
32,C:maj,G
33,F:maj,A
33,F:maj,G
34,E:min,E
34,E:min,D
35,D:min,C
36,F:maj,E
36,F:maj,D
36,F:maj,C
37,C:maj,C
