1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,G#
2,E:maj,A
2,E:maj,G#
2,E:maj,E
2,E:maj,E
2,E:maj,E
3,A:maj,A
3,A:maj,A
3,A:maj,E
3,A:maj,E
4,A:maj,A
4,A:maj,A
4,A:maj,E
4,A:maj,E
4,A:maj,E
5,E:maj,E
6,E:maj,B
6,E:maj,B
6,E:maj,B
6,E:maj,G#
7,E:maj,A
7,E:maj,G#
7,E:maj,E
7,E:maj,E
7,E:maj,E
8,A:maj,A
8,A:maj,A
8,A:maj,E
8,A:maj,E
9,A:maj,A
9,A:maj,A
9,A:maj,E
9,A:maj,E
9,A:maj,E
10,A:maj,E
11,D:maj,F#
11,D:maj,F#
11,D:maj,A
12,A:maj,E
12,A:maj,E
12,A:maj,E
13,E:maj,E
14,D:maj,F#
14,D:maj,F#
14,D:maj,A
15,A:maj,E
15,A:maj,E
15,A:maj,E
16,E:maj,E
17,G:maj,G#
17,G:maj,G#
17,G:maj,G#
17,G:maj,G#
17,G:maj,A
17,G:maj,A
18,G:maj,B
18,G:maj,A
18,G:maj,G
19,A:maj,A
19,A:maj,A
19,A:maj,A
19,A:maj,A
19,A:maj,B
19,A:maj,C#
20,A:maj,C#
20,A:maj,E
20,A:maj,E
20,A:maj,E
20,A:maj,E
