1,G:maj,G
1,G:maj,G
1,G:maj,F#
1,G:maj,G
1,G:maj,F#
1,G:maj,G
1,G:maj,F#
1,G:maj,G
1,G:maj,D
2,C:maj,C
3,G:maj,G
3,G:maj,G
3,G:maj,F#
3,G:maj,G
3,G:maj,F#
3,G:maj,G
3,G:maj,F#
3,G:maj,G
3,G:maj,D
4,C:maj,C
5,D:maj,G
5,D:maj,A
6,E:min,B
7,D#:maj,B
7,D#:maj,A
7,D#:maj,G
7,D#:maj,B
8,G:maj,B
9,C#:min,B
9,C#:min,A
9,C#:min,G
9,C#:min,B
10,A:min,E
10,A:min,E
10,A:min,F#
10,A:min,G
10,A:min,F#
10,A:min,G
10,A:min,G
10,A:min,A
11,A:min,A
12,A:min,A
12,A:min,G
13,D:maj,D
13,D:maj,D
13,D:maj,B
13,D:maj,D
14,G:maj,D
15,D:maj,D
15,D:maj,D
15,D:maj,C
15,D:maj,B
16,E:min,A
16,E:min,G
16,E:min,G
16,E:min,G
16,E:min,D
17,D:min,D
17,D:min,C
18,G:maj,B
18,G:maj,A
19,C:maj,A
19,C:maj,G
19,C:maj,G
19,C:maj,G
19,C:maj,G
19,C:maj,A
20,G:maj,B
20,G:maj,D
20,G:maj,D
20,G:maj,D
21,A:min,E
21,A:min,F#
21,A:min,G
21,A:min,A
21,A:min,B
21,A:min,C
21,A:min,A
21,A:min,A
21,A:min,B
21,A:min,D
22,G:maj,D
23,D:maj,D
23,D:maj,D
23,D:maj,C
23,D:maj,B
24,E:min,A
24,E:min,G
24,E:min,G
24,E:min,G
25,D:min,D
25,D:min,C
25,D:min,B
26,G:maj,A
26,G:maj,A
27,C:maj,A
27,C:maj,G
27,C:maj,G
27,C:maj,G
27,C:maj,A
27,C:maj,B
28,G:maj,B
28,G:maj,D
28,G:maj,D
28,G:maj,D
29,A:min,D
29,A:min,F#
29,A:min,G
29,A:min,G
29,A:min,D
29,A:min,F#
29,A:min,G
29,A:min,G
29,A:min,A
30,G:maj,G
