1,A:maj,E
1,A:maj,A
1,A:maj,B
1,A:maj,C#
1,A:maj,B
1,A:maj,A
2,E:maj,B
2,E:maj,B
3,A:maj,C#
3,A:maj,A
4,D:maj,B
4,D:maj,A
4,D:maj,F#
5,E:maj,E
5,E:maj,E
6,A:maj,E
6,A:maj,A
6,A:maj,B
6,A:maj,C#
6,A:maj,B
6,A:maj,A
7,E:maj,B
7,E:maj,B
8,A:maj,C#
8,A:maj,A
9,E:maj,B
9,E:maj,F#
9,E:maj,G#
10,A:maj,A
10,A:maj,A
11,E:maj,B
11,E:maj,B
11,E:maj,B
11,E:maj,A
11,E:maj,B
11,E:maj,C#
12,A:maj,A
12,A:maj,A
13,D:maj,F#
13,D:maj,F#
14,A:maj,E
14,A:maj,C#
15,E:maj,B
15,E:maj,B
16,A:maj,E
16,A:maj,C#
16,A:maj,B
16,A:maj,A
16,A:maj,B
16,A:maj,C#
17,D:maj,F#
17,D:maj,F#
18,A:maj,E
18,A:maj,A
19,E:maj,G#
19,E:maj,A
19,E:maj,B
20,A:maj,A
20,A:maj,A
